,gender,meaning,name,origin
4017,m,"Means ""public, people"" in Turkish.",CUMHUR,[Turkish]
4018,m,Turkish form of JUNAYD.,CÜNEYT,[Turkish]
4019,m,"Possibly means ""hound of Belenus"" from the old Celtic element koun ""hound"" combined with the name of the god BELENUS. This was the name of a 1st-century king of southeast Britain.",CUNOBELINUS,[Ancient Celtic]
4020,m,Latin form of CUPID.,CUPIDO,[Roman Mythology]
4021,m,Either a variant of KURT or short form of CURTIS.,CURT,[English]
4022,f,Portuguese feminine form of CUSTODIO.,CUSTÓDIA,[Portuguese]
4023,m,Portuguese form of CUSTODIO.,CUSTÓDIO,[Portuguese]
4024,m,Old English form of CUTHBERT.,CUTHBERHT,[Anglo-Saxon]
4025,f,Serbian form of CVETKA.,CVETA,[Serbian]
4026,m,Masculine form of CVETKA.,CVETKO,[Slovene]
4027,f,Croatian form of CVETKA.,CVITA,[Croatian]
4028,m&f,"From the English word meaning ""greenish blue"", ultimately derived from Greek κυανος (kyanos).",CYAN,[English (Rare)]
4029,f,"Variant of SIBYL. This name was borne by actress Cybill Shepherd (1950-), who was named after her grandfather Cy and her father Bill.",CYBILL,[English (Rare)]
4030,m,Form of CUNOBELINUS used by Shakespeare in his play 'Cymbeline' (1609).,CYMBELINE,[Literature]
4031,m,"Derived from Welsh cyn ""chief"" and bel ""war"".",CYNBEL,[Ancient Celtic]
4032,m,"Derived from Old English cyne ""royal"" and beald ""bold"".",CYNEBALD,[Anglo-Saxon]
4033,f,Variant of CYNEBURG.,CYNEBURGA,[Anglo-Saxon (Latinized)]
4034,m,"Means ""royal peace"" from Old English cyne ""royal"" and friþ ""peace"".",CYNEFRIÐ,[Anglo-Saxon]
4035,m,"Derived from Old English cyne ""royal"" and mær ""famous"".",CYNEMÆR,[Anglo-Saxon]
4036,m,"Derived from Old English cyne ""royal"" and sige ""victory"".",CYNESIGE,[Anglo-Saxon]
4037,f,"Latinized form of Greek Κυνθια (Kynthia) which means ""woman from Kynthos"". This was an epithet of the Greek moon goddess Artemis, given because Kynthos was the mountain on Delos on which she and her twin brother Apollo were born. It was not used as a given name until the Renaissance, and it did not become common in the English-speaking world until the 19th century.",CYNTHIA,"[English, Greek Mythology (Latinized)]"
4038,m,"From the Roman family name Cyprianus which meant ""from Cyprus"" in Latin. Saint Cyprian was a 3rd-century bishop of Carthage and a martyr under the emperor Valerian.",CYPRIAN,"[Polish, English (Rare)]"
4039,m,French form of Cyprianus (see CYPRIAN).,CYPRIEN,[French]
4040,m,"Possibly derived from the name of the ancient Greek city of Cyrene, which was located in North Africa. Edmond Rostand used this name in his play 'Cyrano de Bergerac' (1897). He based his character upon a real person, Savinien Cyrano de Bergerac, a French satirist of the 17th century.",CYRANO,[Literature]
4041,m,"Latinized form of the Greek name Κυριακος (Kyriakos), which meant ""of the lord"" (derived from Greek κυριος (kyrios) ""lord""). This was the name of a few early saints.",CYRIACUS,[Late Roman]
4042,m,"From the Greek name Κυριλλος (Kyrillos) which was derived from Greek κυριος (kyrios) ""lord"", a word used frequently in the Greek Bible to refer to God or Jesus.... [more]",CYRIL,"[English, French, Czech, Slovak]"
4043,m&f,"French form of CYRIL, sometimes used as a feminine form.",CYRILLE,[French]
4044,m,"From Κυρος (Kyros), the Greek form of the Persian name Kūrush, which may mean ""far sighted"" or ""young"". The name is sometimes associated with Greek κυριος (kyrios) ""lord"". It was borne by several kings of Persia, including Cyrus the Great, who conquered Babylon. He is famous in the Old Testament for freeing the captive Jews and allowing them to return to Israel. As an English name, it first came into use among the Puritans after the Protestant Reformation.",CYRUS,"[English, Biblical, Biblical Latin, Ancient Greek (Latinized)]"
4045,m,Welsh form of CONSTANTINE.,CYSTENNIN,[Welsh]
4046,m,"Derived from the Slavic elements chisti ""honour"" and slava ""glory"".",CZESŁAW,[Polish]
4047,m&f,"From Chinese 达 (dá) meaning ""achieve, arrive at, intelligent"" (which is usually only masculine), 大 (dà) meaning ""big, great, vast, high"", or other characters with a similar pronunciation.",DA,[Chinese]
4048,f,"Derived from Dacia, the old Roman name for the region which is now Romania and Moldova.",DACIANA,[Romanian]
4049,f,"Means ""curly hair"" in Yoruba.",DADA,"[Western African, Yoruba]"
4050,m,"Meaning unknown, probably of Aramaic origin. In the New Testament Clopas is mentioned briefly as the husband of one of the women who witnessed the crucifixion, sometimes identified with Alphaeus.",CLOPAS,[Biblical]
4051,f,Old Germanic form of CLOTILDE.,CLOTHILDIS,[Ancient Germanic (Latinized)]
4052,f,English form of CLOTILDE.,CLOTILDA,[English]
4053,f,"From the English word for the wild flower, ultimately deriving from Old English clafre.",CLOVER,[English (Rare)]
4054,m,"From the name of the River Clyde in Scotland, which is of unknown origin. It became a common given name in America in the middle of the 19th century, perhaps in honour of Sir Colin Campbell (1792-1863) who was given the title Baron Clyde in 1858.",CLYDE,[English]
4055,f,Latinized form of KLYTIË.,CLYTIA,[Greek Mythology (Latinized)]
4056,m,Variant of KNUT.,CNUT,[History]
4057,m,Short form of JACOBUS.,COBUS,[Dutch]
4058,f,"Diminutive of names beginning with Co, influenced by the word cocoa. However, this was not the case for French fashion designer Coco Chanel (real name Gabrielle), whose nickname came from the name of a song she performed while working as a cabaret singer.",COCO,[Various]
4059,m,"From the Gaelic surname Ó Cuidighthigh, which means ""descendant of CUIDIGHTHEACH"". A famous bearer of the surname was the American frontiersman and showman Buffalo Bill Cody (1846-1917).",CODY,"[English, Irish]"
4060,m,Short form of COENRAAD.,COEN,[Dutch]
4061,m,Latinized form of KOIOS.,COEUS,[Greek Mythology (Latinized)]
4062,m,Irish form of CAILEAN.,COILEAN,[Irish]
4063,f,Dutch diminutive of CORNELIA.,COKKIE,[Dutch]
4064,m,"Old English byname meaning ""charcoal"", originally given to a person with dark features.",COLA,[Anglo-Saxon]
4065,m,"From a surname, originally from various English place names, derived from the Old Norse nickname Koli (meaning ""coal, dark"") and býr ""town"".",COLBY,[English]
4066,f,Variant of COLLEEN.,COLEEN,[English]
4067,f,Variant of COLLEEN.,COLENE,[English (Rare)]
4068,m,Anglicized form of CAILEAN or COILEAN.,COLIN  (1),"[Scottish, Irish, English]"
4069,f,Diminutive of NICOLE.,COLINE,[French]
4070,m,Variant of COLIN  (2).,COLLIN,[English]
4071,m,Variant of COLUM.,COLM,[Irish]
4072,m,"Germanic name composed of the elements col, possibly meaning ""helmet"", and beraht meaning ""bright"".",COLOBERT,[Ancient Germanic]
4073,m,Italian form of COLUMBANUS.,COLOMBANO,[Italian]
4074,f,"Italian feminine diminutive of COLUMBA. In traditional Italian pantomimes this is the name of a stock character, the female counterpart of Arlecchino (also called Harlequin). This is also the Italian word for the columbine flower.",COLOMBINA,[Italian]
4075,m,Variant of COLTON.,COLTEN,[English (Modern)]
4076,m,"Irish form of COLUMBA. This is also an Old Irish word meaning ""dove"", derived from Latin columba.",COLUM,[Irish]
4077,m,"Possibly an Irish diminutive of COLUMBA. Alternatively, it may be derived from Old Irish colum ""dove"" and bán ""white"". The 7th-century Saint Columban of Leinster was the founder of several monasteries in Europe.",COLUMBAN,[Irish]
4078,f,"From the name of a variety of flower. It is also an English form of COLOMBINA, the pantomime character.",COLUMBINE,[English (Rare)]
4079,m,French form of COSMAS.,CÔME,[French]
4080,m,Variant of COMHGHALL.,COMGAL,[Irish]
4081,m,Anglicized form of COMHGHÁN.,COMGAN,[Irish]
4082,m,"Means ""born together"" from Irish comh ""together"" and gan ""born"".",COMHGHÁN,[Irish]
4083,m,"Means ""little wolf"" or ""little hound"" from Gaelic cú ""wolf, hound"" combined with a diminutive suffix. Sir Arthur Conan Doyle was the author who wrote the Sherlock Holmes mystery stories.",CONAN,[Irish]
4084,f,Latinate form of CONCEPCIÓN.,CONCEPTA,[Irish]
4085,f,Diminutive of CONCETTA.,CONCETTINA,[Italian]
4086,f,"Diminutive of CONCEPCIÓN. This name can also mean ""seashell"" in Spanish.",CONCHA,[Spanish]
4087,m,Original Irish form of CONOR.,CONCHOBHAR,"[Irish, Irish Mythology]"
4088,f,"Means ""harmony"" in Latin. This was the name of the Roman goddess of harmony and peace.",CONCORDIA,[Roman Mythology]
4089,m,"Anglicized form of the Chinese name Kong Fuzi. The surname 孔 (Kong) means ""hole, opening"" and the title 夫子 (Fuzi) means ""master"". This was the name of a 6th-century BC Chinese philosopher. His given name was Qiu.",CONFUCIUS,[History]
4090,m,"Possibly derived from Gaelic conn ""chief"" and flaith ""lord"". This was the name of several characters in Irish legend including a son of Cúchulainn who was accidentally killed by his father.",CONLAOCH,[Irish Mythology]
4091,m,Anglicized form of CONLETH.,CONLEY,[Irish]
4092,m,"From an Irish surname, an Anglicized form of Ó Conaill meaning ""descendant of CONALL"".",CONNELL,[English (Rare)]
4093,m&f,"Diminutive of CONSTANCE and other names beginning with Con. It is occasionally a masculine name, a diminutive of CORNELIUS or CONRAD.",CONNIE,[English]
4094,m,Variant of CONOR.,CONNOR,"[Irish, English (Modern)]"
4095,m,"Derived from the Germanic elements kuoni ""brave"" and rad ""counsel"". This was the name of a 10th-century saint and bishop of Konstanz, in southern Germany. It was also borne by several medieval German kings and dukes. In England it was occasionally used during the Middle Ages, but has only been common since the 19th century when it was reintroduced from Germany.",CONRAD,"[English, German, Ancient Germanic]"
4096,m,"Means ""wolf king"" in Irish Gaelic.",CONRÍ,[Irish]
4097,f,Portuguese form of CONSTANTIA.,CONSTANÇA,[Portuguese]
4098,f,Portuguese form of CONSTANTIA.,CONSTÂNCIA,[Portuguese]
4099,m,"From the Late Latin name CONSTANS. It was also used by the Puritans as a vocabulary name, from the English word constant.",CONSTANT,"[French, English (Rare)]"
4100,f,"Feminine form of the Late Latin name Constantius, which was itself derived from CONSTANS.",CONSTANTIA,[Late Roman]
4101,m,Romanian and French form of Constantinus (see CONSTANTINE).,CONSTANTIN,"[Romanian, French]"
4102,m,"From the Latin name Constantinus, a derivative of CONSTANS. Constantine the Great (272-337) was the first Roman emperor to adopt Christianity. He moved the capital of the empire from Rome to Byzantium, which he renamed Constantinople (modern Istanbul).",CONSTANTINE,[History]
4103,m,Late Latin name which was a derivative of CONSTANS.,CONSTANTIUS,[Late Roman]
4104,f,German form of CONSTANTIA.,CONSTANZE,[German]
4105,f,"Means ""consolation"" in Spanish. It is taken from the title of the Virgin Mary, Nuestra Señora del Consuelo, meaning ""Our Lady of Consolation"".",CONSUELO,[Spanish]
4106,m,"From a surname which was derived from the name of the River Conwy, which possibly means ""holy water"" in Welsh.",CONWAY,[English]
4107,m,Diminutive of JACOB.,COOS,[Dutch]
4108,f,From the English and Spanish word coral for the underwater skeletal deposits which can form reefs. It is ultimately derived (via Old French and Latin) from Greek κοραλλιον (korallion).,CORAL,"[English, Spanish]"
4109,m,"From a French surname which was derived from corbeau ""raven"", originally denoting a person who had dark hair. The name was probably popularized in America by actor Corbin Bernsen (1954-).",CORBIN,[English]
4110,m,Latin form of KORBINIAN.,CORBINIANUS,[Late Roman]
4111,f,"From Cordeilla, possibly a Celtic name of unknown meaning. According to Geoffrey of Monmouth, Cordeilla was the youngest of the three daughters of King Lear and the only one to remain loyal to her father. When adapting the character for his play 'King Lear' (1606), Shakespeare altered the spelling to Cordelia.",CORDELIA,[English]
4112,f,"Late Latin name meaning ""heart"" from Latin cor, cordis. Saint Cordula was one of the 4th-century companions of Saint Ursula.",CORDULA,[German]
4113,m,"Possibly means ""hurricane"" in Breton. This was the name of a 5th-century bishop of Quimper in Brittany.",CORENTIN,"[Breton, French]"
4114,m,"From a surname which was derived from the Old Norse given name Kóri, of unknown meaning. This name became popular in the 1960s due to the character Corey Baker on the television series 'Julia'.",COREY,[English]
4115,f,"From the name of the spice, also called cilantro, which may ultimately be of Phoenician origin (via Latin and Greek).",CORIANDER,[English (Rare)]
4116,m,French form of QUIRINUS.,CORIN,[French (Rare)]
4117,f,Variant of CORINNE.,CORINE,[English]
4118,f,French form of CORINNA. The French-Swiss author Madame de Staël used it for her novel 'Corinne' (1807).,CORINNE,"[French, English]"
4119,m,Scottish form of CORMAC.,CORMAG,[Scottish]
4120,m,French form of CORNELIUS.,CORNEILLE,[French (Archaic)]
4121,f,"Feminine form of CORNELIUS. In the 2nd century BC it was borne by Cornelia Scipionis Africana (the daughter of the military hero Scipio Africanus), the mother of the two reformers known as the Gracchi. After her death she was regarded as an example of the ideal Roman woman. The name was revived in the 18th century.",CORNELIA,"[German, Romanian, Italian, Dutch, English, Ancient Roman]"
4122,m,Portuguese form of CORNELIUS.,CORNÉLIO,[Portuguese]
4123,m,Dutch form of CORNELIUS.,CORNELIS,[Dutch]
4124,m,"Roman family name which possibly derives from the Latin element cornu ""horn"". In Acts in the New Testament Cornelius is a centurion who is directed by an angel to seek Peter. After speaking with Peter he converts to Christianity, and he is traditionally deemed the first gentile convert. The name was also borne by a few early saints, including a 3rd-century pope. In England it came into use in the 16th century, partly due to Dutch influence.",CORNELIUS,"[Ancient Roman, English, Dutch, German, Biblical]"
4125,f,"Means ""crown"" in Latin, as well as Italian and Spanish. This was the name of a 2nd-century saint who was martyred with her companion Victor.",CORONA,"[Late Roman, Italian, Spanish]"
4126,m,"Italian form of CONRAD. This was a 14th-century saint from Piacenza, Italy.",CORRADO,[Italian]
4127,f,"Diminutive of CORINNA, CORA, CORNELIA and other names starting with Cor. Since the 1970s it has also been used as a feminine form of COREY.",CORRIE,"[English, Dutch]"
4128,f,Variant of CORINNE.,CORRINE,[English]
4129,m,"From an English surname, derived from Old French cordoan ""leather"", ultimately from the name of the Spanish city of Cordova.",CORWIN,[English]
4130,f,Variant of CORINNE.,CORYNN,[English (Rare)]
4131,f,Italian feminine form of COSIMO.,COSIMA,[Italian]
4132,m,"Means ""enthusiastic"" in Turkish.",COŞKUN,[Turkish]
4133,m,"From the Greek name Κοσμας (Kosmas), which was derived from κοσμος (kosmos) meaning ""order, decency"". Saint Cosmas was martyred with his twin brother Damian in the 4th century. They are the patron saints of physicians.",COSMAS,[Ancient Greek (Latinized)]
4134,m,Romanian form of COSMAS.,COSMIN,[Romanian]
4135,m,"English form of COSMAS. It was introduced to Britain in the 18th century by the second Scottish Duke of Gordon, who named his son and successor after his friend Cosimo III de' Medici.",COSMO,[English]
4136,m,Italian form of Constantinus (see CONSTANTINE).,COSTANTINO,[Italian]
4137,m,Romanian diminutive of CONSTANTIN.,COSTEL,[Romanian]
4138,m,Romanian short form of CONSTANTIN.,COSTIN,[Romanian]
4139,m&f,"From an aristocratic English surname which was derived either from the French place name Courtenay (originally a derivative of the personal name Curtenus, itself derived from Latin curtus ""short"") or else from a Norman nickname meaning ""short nose"". As a feminine name in America, it first became popular during the 1970s.",COURTNEY,[English]
4140,m,"Means ""little child"" in Ojibwe. This was the name of a late 19th-century chief of the Saulteaux.",COWESSESS,"[Native American, Ojibwe]"
4141,m,"From a Scottish surname which was derived from Gaelic creag meaning ""crag"" or ""rocks"", originally indicating a person who lived near a crag.",CRAIG,"[Scottish, English]"
4142,m,From the name of a Native American tribe of central Canada. Their name derives via French from the Cree word kiristino.,CREE,[English (Rare)]
4143,f,Spanish feminine form of CRESCENTIUS.,CRESCENCIA,[Spanish]
4144,f,Feminine form of CRESCENTIUS.,CRESCENTIA,"[German, Late Roman]"
4145,m,Italian form of CRESCENTIUS.,CRESCENZO,[Italian]
4146,f,"Derived from Romanian crin meaning ""lily"".",CRINA,[Romanian]
4147,m,Medieval variant of CRISPIN.,CRISPIAN,[English (Archaic)]
4148,m,Latin form of CRISPIN.,CRISPINUS,[Ancient Roman]
4149,f,Variant of CRYSTAL.,CRISTAL,[English]
4150,m,Diminutive of CRISTIAN.,CRISTI,[Romanian]
4151,m,Romanian form of CHRISTIAN.,CRISTIAN,[Romanian]
4152,m,Italian and Portuguese form of CHRISTIAN. A famous bearer is Portuguese soccer player Cristiano Ronaldo (1985-).,CRISTIANO,"[Italian, Portuguese]"
4153,m,Spanish form of CHRISTOPHER.,CRISTÓBAL,[Spanish]
4154,m,Portuguese form of CHRISTOPHER.,CRISTÓVÃO,[Portuguese]
4155,f,Diminutive of CROCIFISSA.,CROCETTA,[Italian]
4156,m,"From a surname which was derived from a place name meaning ""town with a small enclosed field"" in Old English.",CROFTON,[English (Rare)]
4157,m,Short form of ČRTOMIR.,ČRT,[Slovene]
4158,m&f,"Means ""cross"" in Spanish or Portuguese, referring to the cross of the crucifixion.",CRUZ,"[Spanish, Portuguese]"
4159,f,"From the English word crystal for the clear, colourless glass, sometimes cut into the shape of a gemstone. The English word derives ultimately from Greek κρυσταλλος (krystallos) meaning ""ice"". It has been in use as a given name since the 19th century.",CRYSTAL,[English]
4160,m,"Possibly means either ""shepherd"" or ""gift"" in Hungarian. According to legend this was the name of the son of Attila the Hun.",CSABA,[Hungarian]
4161,f,"Derived from Hungarian csillag meaning ""star"". This name was created by the Hungarian author András Dugonics for an 1803 novel and later used and popularized by the poet Mihály Vörösmarty.",CSILLA,[Hungarian]
4162,m,"Derived from the Slavic elements chisti ""honour"" and rad ""happy, willing"". In Czech legend this was the name of one of the men tricked by Šárka.",CTIRAD,"[Czech, Slovak]"
4163,m,"Means ""falling eagle"" in Nahuatl. This was the name of the last Aztec emperor, ruling until he was captured and executed by the Spanish conquistador Hernán Cortés in the year 1525.",CUAUHTÉMOC,"[Native American, Nahuatl]"
4164,m,"Means ""hound of Culann"" in Irish. This was the usual name of the warrior hero who was named Sétanta at birth, given to him because he took the place of one of Culann's hounds after he accidentally killed it. Irish legend tells of Cúchulainn's many adventures, including his single-handed defense of Ulster against the army of queen Medb.",CÚCHULAINN,[Irish Mythology]
4165,m,"Possibly from Celtic cam meaning ""bent, crooked"". This was the name of a 6th-century Irish saint.",CUIMÍN,[Irish]
4166,m,"From a surname, either CULLEN  (1) or CULLEN  (2).",CULLEN,[English]
4167,f,French form of KUNIGUNDE. Voltaire used this name in his novel 'Candide' (1759).,CUNÉGONDE,[French]
4168,f,Old Germanic form of KUNIGUNDE.,CUNIGUND,[Ancient Germanic]
4169,m,"From the Latin Cupido meaning ""desire"". This was the name of the Roman god of love, the son of Venus and Mars. He was portrayed as a winged, blindfolded boy, armed with a bow and arrows which caused the victim to fall in love. His Greek equivalent was Eros.",CUPID,[Roman Mythology (Anglicized)]
4170,m,Andalusian diminutive of FRANCISCO.,CURRO,[Spanish]
4171,m,"From an English surname which originally meant ""courteous"" in Old French.",CURTIS,[English]
4172,f,Feminine form of CUSTODIO.,CUSTODIA,[Spanish]
4173,m,"Means ""guardian"" in Spanish, from Latin custodia ""protection, safekeeping"".",CUSTODIO,[Spanish]
4174,m,"Derived from the Old English elements cuþ ""famous"" and beorht ""bright"". Saint Cuthbert was a 6th-century hermit who became the bishop of Lindisfarne, an island off the coast of England. He was known as performer of healing miracles. Because of the saint, this name remained in use in England even after the Norman conquest. It became rare after the Protestant Reformation, but it was (briefly) revived in the 19th century.",CUTHBERT,[English (Rare)]
4175,f,"Derived from Slovene cvet meaning ""blossom, flower"".",CVETKA,[Slovene]
4176,f,Croatian and Serbian form of CVETKA.,CVIJETA,"[Croatian, Serbian]"
4177,m,Short form of CYRUS or CYRIL.,CY,[English]
4178,f,"Meaning unknown, possibly from Phrygian roots meaning either ""stone"" or ""hair"". This was the name of the Phrygian mother goddess associated with fertility and nature. She was later worshipped by the Greeks and Romans.",CYBELE,[Near Eastern Mythology (Hellenized)]
4179,f,Variant of SYDNEY.,CYDNEY,[English (Modern)]
4180,f,Variant of SIMONE  (1).,CYMONE,[English (Rare)]
4181,f,Short form of CYNTHIA.,CYNDI,[English]
4182,f,"Means ""royal fortress"" from Old English cyne ""royal"" and burg ""fortress"". Saint Cyneburga, a daughter of a king of Mercia, was the founder of an abbey at Gloucester in the 7th century.",CYNEBURG,[Anglo-Saxon]
4183,m,Variant of CYNEFRIÐ.,CYNEFRITH,[Anglo-Saxon (Latinized)]
4184,m,"Derived from Old English cyne ""royal"" and heard ""brave, hardy"".",CYNEHEARD,[Anglo-Saxon]
4185,m,"Derived from Old English cyne ""royal"" and ric ""power"".",CYNERIC,[Anglo-Saxon]
4186,m,"Derived from Old English cyne ""royal"" and weard ""guard"".",CYNEWEARD,[Anglo-Saxon]
4187,m,"Derived from Welsh cyn meaning ""chief"" and gwr meaning ""hero, man"", plus the suffix -ig indicating ""has the quality of"".",CYNWRIG,[Ancient Celtic]
4188,m,Original Latin form of CYPRIAN.,CYPRIANUS,[Ancient Roman]
4189,f,Meaning unknown. Saint Cyra was a 5th-century Syrian hermit who was martyred with her companion Marana.,CYRA,[History]
4190,f,Feminine form of CYRIACUS.,CYRIACA,[Late Roman]
4191,f,French feminine form of CYRIL.,CYRIELLE,[French]
4192,f,Feminine form of CYRIL.,CYRILLA,[English (Rare)]
4193,m,Latinized form of KYRILLOS.,CYRILLUS,[Ancient Greek (Latinized)]
4194,m,Polish form of CYRIL.,CYRYL,[Polish]
4195,m,"Derived from the Slavic elements chisti ""honour"" and borti ""battle"".",CZCIBOR,[Polish (Rare)]
4196,f,Feminine form of CZESŁAW.,CZESŁAWA,[Polish]
4197,m,Short form of DANIËL.,DAAN,[Dutch]
4198,m,"From a surname which was originally derived from a place name in Cumbria, of Brythonic origin meaning ""trickling stream"".",DACRE,[English (Rare)]
4199,m,Portuguese diminutive of EDUARDO.,DADO  (1),[Portuguese]
4200,m,Croatian diminutive of DAMIR and other names containing the sound da.,DADO  (2),[Croatian]
4201,m,"From Sino-Korean 大 (dae) meaning ""big, great, vast, large, high"" combined with 中 (jung) meaning ""middle"". Other combinations of hanja characters can form this name as well. A notable bearer was South Korean president Kim Dae-jung (1924-2009).",DAE-JUNG,[Korean]
4202,f,Albanian and Macedonian form of DAPHNE.,DAFINA,"[Albanian, Macedonian]"
4203,f,Italian form of DAPHNE.,DAFNE,[Italian]
4204,m,"Derived from Old Norse dagr meaning ""day"".",DAG,"[Swedish, Norwegian, Danish]"
4205,m,"Means ""good god"" in Celtic. In Irish myth Dagda (called also The Dagda) was the powerful god of the earth, knowledge, magic, abundance and treaties, a leader of the Tuatha De Danann. He was skilled in combat and healing and possessed a huge club, the handle of which could revive the dead.",DAGDA,[Irish Mythology]
4206,m,Old Norse form of DAGFINN.,DAGFINNR,[Ancient Scandinavian]
4207,f,"From the Old Norse name Dagmær, derived from the elements dagr ""day"" and mær ""maid"". This was the name adopted by the popular Bohemian wife of the Danish king Valdemar II when they married in 1205. Her birth name was Markéta.",DAGMAR,"[Danish, Swedish, Norwegian, Icelandic, German, Czech, Slovak]"
4208,f,Variant of DAGNY.,DAGNEY,[Various]
4209,f,"From the Old Norse name Dagný, which was derived from the elements dagr ""day"" and ný ""new"".",DAGNY,"[Swedish, Norwegian, Danish]"
4210,m,"Derived from Ugaritic dgn meaning ""grain"". This was the name of a Semitic god of agriculture, usually depicted with the body of a fish.",DAGON,[Near Eastern Mythology]
4211,f,Old Norse and Icelandic form of DAGRUN.,DAGRÚN,"[Ancient Scandinavian, Icelandic]"
4212,m,Icelandic form of DAG.,DAGUR,[Icelandic]
4213,m,"Derived from the old Celtic word dei meaning ""to shine"". This name is also used as a Welsh diminutive of DAVID.",DAI,[Welsh]
4214,m,Scottish Gaelic form of DAVID.,DÀIBHIDH,[Scottish]
4215,m,Greek form of DAEDALUS.,DAIDALOS,[Greek Mythology]
4216,f,"Means ""song"" in Lithuanian and Latvian.",DAINA,"[Lithuanian, Latvian]"
4217,f,Variant of DOIREANN.,DAIREANN,[Irish Mythology]
4218,m,"From Japanese 大 (dai) meaning ""big, great"" and 輔 (suke) meaning ""help"". Other kanji combinations are possible.",DAISUKE,[Japanese]
4219,m,"Possibly means ""swift"" in Irish Gaelic. It is sometimes used as an Irish form of David.",DÁITHÍ,[Irish]
4220,f,"Created by the Lithuanian writer Vydūnas, who possibly derived it from a Sanskrit word meaning ""destiny"".",DAIVA,[Lithuanian]
4221,f,Serbian and Croatian form of DIANA.,DAJANA,"[Serbian, Croatian]"
4222,m&f,"Means ""allies, friends"" in the Dakota language. This is the name of a Native American people of the northern Mississippi valley.",DAKOTA,[English (Modern)]
4223,f,"Means ""coquettishness"" in Arabic.",DALAL,[Arabic]
4224,m,"From an Irish surname which was derived from Ó Dálaigh meaning ""descendant of Dálach"". The name Dálach means ""assembly"" in Gaelic.",DALEY,"[Irish, English (Rare)]"
4225,f,"Means ""fate, luck"" in Lithuanian. This was the name of the Lithuanian goddess of weaving, fate and childbirth, often associated with Laima.",DALIA  (2),"[Lithuanian, Baltic Mythology]"
4226,m,"Derived from the Slavic elements dali meaning ""distance"" and borti meaning ""to fight"".",DALIBOR,"[Czech, Slovak, Croatian, Serbian, Slovene, Medieval Slavic]"
4227,m,"Derived from the Slavic elements dali meaning ""distance"" and milu meaning ""gracious, dear"".",DALIMIL,"[Czech, Slovak]"
4228,m&f,"Means ""blessing"" in Chewa.",DALITSO,"[Southern African, Chewa]"
4229,m,"From an English surname which was originally from a place name meaning ""valley town"" in Old English. A notable bearer of the surname was John Dalton (1766-1844), the English chemist and physicist who theorized about the existence of atoms.",DALTON,[English]
4230,f,Variant transcription of DALIA  (3).,DALYA,[Hebrew]
4231,f,"Means ""subduing"" in Sanskrit. In the Hindu epic the 'Mahabharata' this is the name of a beautiful princess, the wife of Nala.",DAMAYANTI,[Hinduism]
4232,f,"Means ""fawn"" from Gaelic damh ""stag, ox"" combined with a diminutive suffix.",DAMHNAIT,[Irish]
4233,m,"From the Greek name Δαμιανος (Damianos) which was derived from Greek δαμαζω (damazo) ""to tame"". Saint Damian was martyred with his twin brother Cosmo in Syria early in the 4th century. They are the patron saints of physicians. Due to his renown, the name came into general use in Christian Europe. Another saint by this name was Peter Damian, an 11th-century cardinal and theologian from Italy.",DAMIAN,"[English, Polish, Dutch]"
4234,m,Italian form of DAMIAN.,DAMIANO,[Italian]
4235,m,Latinized form of DAMIANOS.,DAMIANUS,[Ancient Greek (Latinized)]
4236,m,Slovene form of DAMIAN.,DAMIJAN,[Slovene]
4237,m,Variant of DAMIAN.,DAMION,[English]
4238,m,"Slovene, Croatian, Serbian and Macedonian form of DAMIAN.",DAMJAN,"[Slovene, Croatian, Serbian, Macedonian]"
4239,f,"Means ""water drop"" in Turkish.",DAMLA,[Turkish]
4240,m,Modern form of DAMODARA.,DAMODAR,"[Indian, Hindi]"
4241,m,Original Greek form of DAMOCLES.,DAMOKLES,[Greek Mythology]
4242,m,Bulgarian form of DAMIAN.,DAMYAN,[Bulgarian]
4243,m,Short form of DANIEL.,DAN  (2),"[English, Spanish, French, Portuguese, Romanian, Czech, German, Polish, Swedish, Danish, Norwegian]"
4244,f,Feminine form of DANIEL or DAN  (1).,DANA  (1),"[Romanian, Czech, Slovak, German, Hebrew]"
4245,f,"Short form of BOGDANA, YORDANA or GORDANA.",DANA  (3),"[Bulgarian, Macedonian]"
4246,f,"From Δαναοι (Danaoi), a word used by Homer to designate the Greeks. In Greek mythology Danaë was the daughter of the Argive king Acrisius. It had been prophesized to her father that he would one day be killed by Danaë's son, so he attempted to keep his daughter childless. However, Zeus came to her in the form of a shower of gold, and she became the mother of Perseus. Eventually the prophecy was fulfilled and Perseus killed Acrisius, albeit accidentally.",DANAË,[Greek Mythology]
4247,m,Diminutive of DANAIL.,DANCHO,[Bulgarian]
4248,m,From an English surname which was either a variant of the surname DEAN or else an ethnic name referring to a person from Denmark.,DANE,[English]
4249,f,Feminine diminutive of DANIEL.,DANETTE,[English]
4250,m,Hungarian diminutive of DÁNIEL and Spanish diminutive of DANIEL.,DANI  (2),"[Hungarian, Spanish]"
4251,f,Variant transcription of DANIYAH.,DANIA  (2),[Arabic]
4252,m,Hungarian and Faroese form of DANIEL.,DÁNIEL,"[Hungarian, Faroese]"
4253,m,Dutch form of DANIEL.,DANIËL,[Dutch]
4254,f,Feminine form of DANIEL.,DANIELA,"[Italian, German, Czech, Slovak, Romanian, Portuguese, Spanish, Bulgarian, Macedonian, English]"
